序号,中文名,备选中文名,拉丁名,英文名,目,科,ebird,birdreport
1,渔雕,,Icthyophaga humilis,Lesser Fish-Eagle,ACCIPITRIFORMES,Accipitridae,,
2,灰头鱼雕,,Icthyophaga ichthyaetus,Gray-headed Fish-Eagle,ACCIPITRIFORMES,Accipitridae,,
3,白腹海雕,,Icthyophaga leucogaster,White-bellied Sea-Eagle,ACCIPITRIFORMES,Accipitridae,,
4,凤头鹰,,Lophospiza trivirgata,Crested Goshawk,ACCIPITRIFORMES,Accipitridae,,
5,食蝠鸢,,Macheiramphus alcinus,Bat Hawk,ACCIPITRIFORMES,Accipitridae,,
6,马来鹰雕,,Nisaetus alboniger,Blyth's Hawk-Eagle,ACCIPITRIFORMES,Accipitridae,,
7,华氏鹰雕,,Nisaetus nanus,Wallace's Hawk-Eagle,ACCIPITRIFORMES,Accipitridae,,
8,山蛇雕,,Spilornis kinabaluensis,Mountain Serpent-Eagle,ACCIPITRIFORMES,Accipitridae,,
9,褐耳鹰,,Tachyspiza badia,Shikra,ACCIPITRIFORMES,Accipitridae,,
10,日本松雀鹰,,Tachyspiza gularis,Japanese Sparrowhawk,ACCIPITRIFORMES,Accipitridae,,
11,赤腹鹰,,Tachyspiza soloensis,Chinese Sparrowhawk,ACCIPITRIFORMES,Accipitridae,,
12,松雀鹰,,Tachyspiza virgata,Besra,ACCIPITRIFORMES,Accipitridae,,
13,爪哇灰鸭,,Anas gibberifrons,Sunda Teal,ANSERIFORMES,Anatidae,,
14,斑胸树鸭,,Dendrocygna arcuata,Wandering Whistling-Duck,ANSERIFORMES,Anatidae,,
15,大金丝燕,,Aerodramus maximus,Black-nest Swiftlet,APODIFORMES,Apodidae,,
16,苔巢金丝燕,,Aerodramus salangana,Mossy-nest Swiftlet,APODIFORMES,Apodidae,,
17,毛趾金丝燕,,Collocalia affinis,Plume-toed Swiftlet,APODIFORMES,Apodidae,,
18,婆罗洲金丝燕,,Collocalia dodgei,Bornean Swiftlet,APODIFORMES,Apodidae,,
19,穴金丝燕,,Collocalia linchi,Cave Swiftlet,APODIFORMES,Apodidae,,
20,瀑布雨燕,,Hydrochous gigas,Waterfall Swift,APODIFORMES,Apodidae,,
21,银腰针尾雨燕,,Rhaphidura leucopygialis,Silver-rumped Spinetail,APODIFORMES,Apodidae,,
22,小须凤头雨燕,,Hemiprocne comata,Whiskered Treeswift,APODIFORMES,Hemiprocnidae,,
23,灰腰雨燕,,Hemiprocne longipennis,Gray-rumped Treeswift,APODIFORMES,Hemiprocnidae,,
24,凤头犀鸟,,Anorrhinus galeritus,Bushy-crested Hornbill,BUCEROTIFORMES,Bucerotidae,,
25,黑斑犀鸟,,Anthracoceros malayanus,Black Hornbill,BUCEROTIFORMES,Bucerotidae,,
26,白冠犀鸟,,Berenicornis comatus,White-crowned Hornbill,BUCEROTIFORMES,Bucerotidae,,
27,马来犀鸟,,Buceros rhinoceros,Rhinoceros Hornbill,BUCEROTIFORMES,Bucerotidae,,
28,皱盔犀鸟,,Rhabdotorrhinus corrugatus,Wrinkled Hornbill,BUCEROTIFORMES,Bucerotidae,,
29,盔犀鸟,,Rhinoplax vigil,Helmeted Hornbill,BUCEROTIFORMES,Bucerotidae,,
30,淡喉皱盔犀鸟,,Rhyticeros subruficollis,Plain-pouched Hornbill,BUCEROTIFORMES,Bucerotidae,,
31,白喉夜鹰,,Caprimulgus concretus,Bonaparte's Nightjar,CAPRIMULGIFORMES,Caprimulgidae,,
32,毛腿耳夜鹰,,Lyncornis macrotis,Great Eared-Nightjar,CAPRIMULGIFORMES,Caprimulgidae,,
33,马来毛腿夜鹰,,Lyncornis temminckii,Malaysian Eared-Nightjar,CAPRIMULGIFORMES,Caprimulgidae,,
34,石鸻,,Esacus magnirostris,Beach Thick-knee,CHARADRIIFORMES,Burhinidae,,
35,环颈鸻,,Anarhynchus alexandrinus,Kentish Plover,CHARADRIIFORMES,Charadriidae,,
36,青藏沙鸻,,Anarhynchus atrifrons,Tibetan Sand-Plover,CHARADRIIFORMES,Charadriidae,,
37,白脸鸻,,Anarhynchus dealbatus,White-faced Plover,CHARADRIIFORMES,Charadriidae,,
38,爪哇鸻,,Anarhynchus javanicus,Javan Plover,CHARADRIIFORMES,Charadriidae,,
39,铁嘴沙鸻,,Anarhynchus leschenaultii,Greater Sand-Plover,CHARADRIIFORMES,Charadriidae,,
40,蒙古沙鸻,,Anarhynchus mongolus,Siberian Sand-Plover,CHARADRIIFORMES,Charadriidae,,
41,马来鸻,,Anarhynchus peronii,Malaysian Plover,CHARADRIIFORMES,Charadriidae,,
42,东方鸻,,Anarhynchus veredus,Oriental Plover,CHARADRIIFORMES,Charadriidae,,
43,金眶鸻,,Thinornis dubius,Little Ringed Plover,CHARADRIIFORMES,Charadriidae,,
44,长嘴剑鸻,,Thinornis placidus,Long-billed Plover,CHARADRIIFORMES,Charadriidae,,
45,黄垂麦鸡,,Vanellus malabaricus,Yellow-wattled Lapwing,CHARADRIIFORMES,Charadriidae,,
46,蟹鸻,,Dromas ardeola,Crab-Plover,CHARADRIIFORMES,Dromadidae,,
47,澳洲燕鸻,,Glareola isabella,Australian Pratincole,CHARADRIIFORMES,Glareolidae,,
48,小玄燕鸥,,Anous tenuirostris,Lesser Noddy,CHARADRIIFORMES,Laridae,,
49,澳洲鸥嘴噪鸥,,Gelochelidon macrotarsa,Australian Tern,CHARADRIIFORMES,Laridae,,
50,北极燕鸥,,Sterna paradisaea,Arctic Tern,CHARADRIIFORMES,Laridae,,
51,澳洲长脚鹬,,Himantopus leucocephalus,Pied Stilt,CHARADRIIFORMES,Recurvirostridae,,
52,黄脸鹳,,Ciconia stormi,Storm's Stork,CICONIIFORMES,Ciconiidae,,
53,白鹮鹳,,Mycteria cinerea,Milky Stork,CICONIIFORMES,Ciconiidae,,
54,尼柯巴鸠,,Caloenas nicobarica,Nicobar Pigeon,COLUMBIFORMES,Columbidae,,
55,银鸽,,Columba argentina,Silvery Wood-Pigeon,COLUMBIFORMES,Columbidae,,
56,斑皇鸠,,Ducula bicolor,Pied Imperial-Pigeon,COLUMBIFORMES,Columbidae,,
57,马来皇鸠,,Ducula pickeringii,Gray Imperial-Pigeon,COLUMBIFORMES,Columbidae,,
58,黑项果鸠,,Ptilinopus melanospilus,Black-naped Fruit-Dove,COLUMBIFORMES,Columbidae,,
59,粉头果鸠,,Ramphiculus jambu,Jambu Fruit-Dove,COLUMBIFORMES,Columbidae,,
60,菲律宾斑鸠,,Streptopelia dusumieri,Philippine Collared-Dove,COLUMBIFORMES,Columbidae,,
61,大绿鸠,,Treron capellei,Large Green-Pigeon,COLUMBIFORMES,Columbidae,,
62,棕头绿鸠,,Treron fulvicollis,Cinnamon-headed Green-Pigeon,COLUMBIFORMES,Columbidae,,
63,小绿鸠,,Treron olax,Little Green-Pigeon,COLUMBIFORMES,Columbidae,,
64,红颈绿鸠,,Treron vernans,Pink-necked Green-Pigeon,COLUMBIFORMES,Columbidae,,
65,栗领翡翠,,Actenoides concretus,Rufous-collared Kingfisher,CORACIIFORMES,Alcedinidae,,
66,马来蓝带翠鸟,,Alcedo peninsulae,Malaysian Blue-banded Kingfisher,CORACIIFORMES,Alcedinidae,,
67,棕背三趾翠鸟,,Ceyx rufidorsa,Rufous-backed Dwarf-Kingfisher,CORACIIFORMES,Alcedinidae,,
68,横斑翠鸟,,Lacedo pulchella,Banded Kingfisher,CORACIIFORMES,Alcedinidae,,
69,褐翅翡翠,,Pelargopsis amauroptera,Brown-winged Kingfisher,CORACIIFORMES,Alcedinidae,,
70,白眉翡翠,,Todiramphus sanctus,Sacred Kingfisher,CORACIIFORMES,Alcedinidae,,
71,锈胸丛杜鹃,,Cacomantis sepulcralis,Sunda Brush Cuckoo,CUCULIFORMES,Cuculidae,,
72,地鹃,,Carpococcyx radiceus,Bornean Ground-Cuckoo,CUCULIFORMES,Cuculidae,,
73,短趾鸦鹃,,Centropus rectunguis,Short-toed Coucal,CUCULIFORMES,Cuculidae,,
74,霍氏金鹃,,Chalcites basalis,Horsfield's Bronze-Cuckoo,CUCULIFORMES,Cuculidae,,
75,棕胸金鹃,,Chalcites minutillus,Little Bronze-Cuckoo,CUCULIFORMES,Cuculidae,,
76,巽他杜鹃,,Cuculus lepidus,Sunda Cuckoo,CUCULIFORMES,Cuculidae,,
77,婆罗鹰鹃,,Hierococcyx bocki,Dark Hawk-Cuckoo,CUCULIFORMES,Cuculidae,,
78,棕腹鹰鹃,,Hierococcyx fugax,Malaysian Hawk-Cuckoo,CUCULIFORMES,Cuculidae,,
79,小鹰鹃,,Hierococcyx vagans,Moustached Hawk-Cuckoo,CUCULIFORMES,Cuculidae,,
80,栗胸地鹃,,Phaenicophaeus curvirostris,Chestnut-breasted Malkoha,CUCULIFORMES,Cuculidae,,
81,黑腹地鹃,,Phaenicophaeus diardi,Black-bellied Malkoha,CUCULIFORMES,Cuculidae,,
82,棕腹地鹃,,Phaenicophaeus sumatranus,Chestnut-bellied Malkoha,CUCULIFORMES,Cuculidae,,
83,棕胸地鹃,,Rhinortha chlorophaea,Raffles's Malkoha,CUCULIFORMES,Cuculidae,,
84,叉尾乌鹃,,Surniculus dicruroides,Fork-tailed Drongo-Cuckoo,CUCULIFORMES,Cuculidae,,
85,红嘴地鹃,,Zanclostomus javanicus,Red-billed Malkoha,CUCULIFORMES,Cuculidae,,
86,黑腿小隼,,Microhierax fringillarius,Black-thighed Falconet,FALCONIFORMES,Falconidae,,
87,白额小隼,,Microhierax latifrons,White-fronted Falconet,FALCONIFORMES,Falconidae,,
88,菲律宾塚雉,,Megapodius cumingii,Philippine Megapode,GALLIFORMES,Megapodiidae,,
89,砍氏山鹧鸪,,Arborophila campbelli,Malayan Partridge,GALLIFORMES,Phasianidae,,
90,赤胸山鹧鸪,,Arborophila hyperythra,Red-breasted Partridge,GALLIFORMES,Phasianidae,,
91,大眼斑雉,,Argusianus argus,Great Argus,GALLIFORMES,Phasianidae,,
92,锈红林鹧鸪,,Caloperdix oculeus,Ferruginous Partridge,GALLIFORMES,Phasianidae,,
93,红头林鹧鸪,,Haematortyx sanguiniceps,Crimson-headed Partridge,GALLIFORMES,Phasianidae,,
94,鳞背鹇,,Lophura bulweri,Bulwer's Pheasant,GALLIFORMES,Phasianidae,,
95,棕尾火背鹇,,Lophura erythrophthalma,Malayan Crestless Fireback,GALLIFORMES,Phasianidae,,
96,凤冠火背鹇,,Lophura ignita,Bornean Crested Fireback,GALLIFORMES,Phasianidae,,
97,婆罗洲火背鹇,,Lophura pyronota,Bornean Crestless Fireback,GALLIFORMES,Phasianidae,,
98,马来火背鹇,,Lophura rufa,Malayan Crested Fireback,GALLIFORMES,Phasianidae,,
99,黑鹑,,Melanoperdix niger,Black Partridge,GALLIFORMES,Phasianidae,,
100,山孔雀雉,,Polyplectron inopinatum,Mountain Peacock-Pheasant,GALLIFORMES,Phasianidae,,
101,凤冠孔雀雉,,Polyplectron malacense,Malayan Peacock-Pheasant,GALLIFORMES,Phasianidae,,
102,加里曼丹孔雀雉,,Polyplectron schleiermacheri,Bornean Peacock-Pheasant,GALLIFORMES,Phasianidae,,
103,马来冠眼斑雉,,Rheinardia nigrescens,Malayan Crested Argus,GALLIFORMES,Phasianidae,,
104,霍氏长嘴山鹑,,Rhizothera dulitensis,Dulit Partridge,GALLIFORMES,Phasianidae,,
105,长嘴山鹑,,Rhizothera longirostris,Long-billed Partridge,GALLIFORMES,Phasianidae,,
106,冕鹧鸪,,Rollulus rouloul,Crested Partridge,GALLIFORMES,Phasianidae,,
107,栗胸山鹧鸪,,Tropicoperdix charltonii,Chestnut-necklaced Partridge,GALLIFORMES,Phasianidae,,
108,沙巴树鹧鸪,,Tropicoperdix graydoni,Sabah Partridge,GALLIFORMES,Phasianidae,,
109,亚洲鳍趾鷉,,Heliopais personatus,Masked Finfoot,GRUIFORMES,Heliornithidae,,
110,红眼斑秧鸡,,Gallirallus philippensis,Buff-banded Rail,GRUIFORMES,Rallidae,,
111,横斑秧鸡,,Gallirallus torquatus,Barred Rail,GRUIFORMES,Rallidae,,
112,白眉田鸡,,Poliolimnas cinereus,White-browed Crake,GRUIFORMES,Rallidae,,
113,黑背紫水鸡,,Porphyrio indicus,Black-backed Swamphen,GRUIFORMES,Rallidae,,
114,黄胸噪刺莺,,Gerygone sulphurea,Golden-bellied Gerygone,PASSERIFORMES,Acanthizidae,,
115,绿雀鹎,,Aegithina viridissima,Green Iora,PASSERIFORMES,Aegithinidae,,
116,白胸燕鵙,,Artamus leucorynchus,White-breasted Woodswallow,PASSERIFORMES,Artamidae,,
117,丽绿阔嘴鸟,,Calyptomena hosii,Hose's Broadbill,PASSERIFORMES,Calyptomenidae,,
118,绿阔嘴鸟,,Calyptomena viridis,Green Broadbill,PASSERIFORMES,Calyptomenidae,,
119,黑喉绿阔嘴鸟,,Calyptomena whiteheadi,Whitehead's Broadbill,PASSERIFORMES,Calyptomenidae,,
120,爪哇鹃鵙,,Coracina javensis,Oriental Cuckooshrike,PASSERIFORMES,Campephagidae,,
121,马来鹃鵙,,Coracina larutensis,Malayan Cuckooshrike,PASSERIFORMES,Campephagidae,,
122,巽他鹃鵙,,Coracina larvata,Sunda Cuckooshrike,PASSERIFORMES,Campephagidae,,
123,斑腹鹃鵙,,Coracina striata,Bar-bellied Cuckooshrike,PASSERIFORMES,Campephagidae,,
124,缨鹃鵙,,Lalage fimbriata,Lesser Cuckooshrike,PASSERIFORMES,Campephagidae,,
125,火红山椒鸟,,Pericrocotus igneus,Fiery Minivet,PASSERIFORMES,Campephagidae,,
126,印尼短尾莺,,Urosphena whiteheadi,Bornean Stubtail,PASSERIFORMES,Cettiidae,,
127,小绿叶鹎,,Chloropsis cyanopogon,Lesser Green Leafbird,PASSERIFORMES,Chloropseidae,,
128,婆罗洲叶鹎,,Chloropsis kinabaluensis,Bornean Leafbird,PASSERIFORMES,Chloropseidae,,
129,蓝翅叶鹎,,Chloropsis moluccensis,Blue-winged Leafbird,PASSERIFORMES,Chloropseidae,,
